Assigned Annotation,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,BLK A,BLK B,BLK C,C1,C2,C3,C4,C5,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08
"cis-5,8,11,14-Eicosatetraenoic acid",42.801,31.26,28.485,27.374,33.596,217.373,277.482,195.952,234.071,259.563,2.877,2.581,NA,232.872,240.908,211.924,245.827,221.337,205.942,209.187,193.753,202.03,170.762,196.614,182.363,198.696
"Conjugated linoleic Acid (10E,12Z)",191.637,342.19,290.747,395.827,325.279,6853.871,5784.276,6302.846,5166.882,5773.205,51.248,83.22,113.578,6895.023,7185.924,7024.756,6892.266,7600.972,4506.456,3369.388,3550.096,3353.571,4484.322,3749.267,3775.908,4139.335
Cresotinic acid,8.201,6.534,7.427,8.123,7.46,9.622,9.323,9.376,9.146,10.019,NA,NA,NA,10.603,12.119,12.815,12.905,12.949,9.884,9.737,10.829,10.503,9.729,10.661,10.682,10.286
DL-Phenylalanine,425.819,305.08,285.876,334.13,300.838,227.795,246.001,221.953,216.744,248.709,NA,NA,NA,277.162,264.26,249.137,286.425,268.026,247.278,267.616,255.297,249.889,271.949,264.961,262.986,255.858
D-Quinovose,17.136,13.397,10.615,11.491,11.552,4.867,3.748,2.142,2.433,2.8,NA,NA,NA,2.74,3.046,2.288,2.921,4.294,4.969,4.88,4.635,5.329,5.177,4.878,4.828,6.444
Geranyl pyrophosphate,4.547,10.432,11.949,12.372,12.27,1.146,1.27,1.194,1.291,1.668,2.116,NA,NA,1.948,1.792,1.451,2.099,1.677,3.432,4.199,3.524,3.733,4.003,4.692,3.934,4.154
Hexadecanedioic acid,493.132,396.692,411.347,433.179,419.204,673.442,682.121,670.05,595.513,698.733,233.172,580.541,504.184,716.928,686.632,709.156,737.098,652.898,647.266,637.612,624.727,624.662,646.182,595.972,613.212,568.268
Indole-3-pyruvic acid,24.774,15.297,19.984,17.93,15.06,12.585,14.594,16.382,18.258,12.114,1.757,6.379,9.639,18.102,12.939,13.345,13.299,14.556,11.083,14.128,16.714,13.452,11.627,15.19,16.19,14.822
Leukotriene B3,27.831,9.329,15.538,13.706,14.894,99.091,105.219,97.959,99.87,119.623,NA,NA,NA,103.91,121.701,82.149,122.736,113.832,122.984,85.225,91.724,102.588,110.47,101.358,71.917,90.615
L-Glutamic acid,32.067,20.082,23.242,21.831,19.435,0.342,0.608,0.276,0.657,0.403,NA,NA,NA,0.888,0.64,0.593,0.698,1.169,2.375,4.133,4.229,4.748,4.147,5.251,4.313,3.883
L-Leucine,362.973,244.939,237.12,241.976,242.336,233,247.474,233.78,232.433,240.828,NA,1.883,NA,240.308,239.537,234.888,248.818,242.579,229.143,233.056,251.634,238.093,251.824,250.142,238.509,234.75
L-Tryptophan,81.679,46.119,48.498,51.091,46.477,33.421,39.032,34.146,33.563,38.447,NA,NA,1.357,51.739,53.287,52.181,56.84,53.373,48.214,47.957,46.596,45.281,47.1,46.691,42.009,45.014
L-Tyrosine,382.844,207.255,245.168,255.28,192.808,176.753,217.82,196.645,201.539,188.481,1.038,6.534,5.466,247.885,197.122,186.534,214.836,224.959,174.043,201.404,224.154,180.282,188.558,216.613,207.527,198.041
Mevalonic acid,18.006,13.032,12.451,13.216,10.645,1.508,2.461,1.388,1.054,3.293,NA,NA,NA,2.573,2.577,1.885,3.558,3.465,6.501,5.055,5.51,3.396,3.929,4.917,3.259,4.239
Myriocin,30.458,24.832,21.543,23.209,26.111,30.183,34.347,31.459,23.67,33.781,0.143,NA,NA,22.519,26.63,20.626,19.056,21.608,28.605,26.161,26.398,22.795,26.837,25.45,24.441,23.336
Myristoleic acid,45.405,32.552,30.459,31.669,35.473,185.403,180.829,181.857,170.118,195.561,12.438,35.614,44.405,179.128,198.791,181.598,185.596,180.197,215.084,208.895,139.255,156.49,166.302,146.959,159.229,155.998
Myristyl sulfate,61845.317,2153.006,2406.024,1916.153,2158.732,2327.315,2224.847,2679.835,3369.326,2110.992,7997.665,10633.429,11920.809,2634.159,2251.562,2587.424,2155.945,2500.757,2968.443,2073.434,2147.185,2302.511,1443.681,2326.656,2590.468,2522.658
Nalpha-Acetyl-L-lysine,31.688,16.635,16.386,24.056,19.05,4.629,5.719,5.573,4.257,5.357,NA,NA,NA,5.675,5.451,4.936,6.147,5.723,7.407,8.638,10.901,7.728,8.906,9.375,10.748,7.846
N-[Tris(hydroxymethyl)methyl]-3-amino-2-hydroxypropanesulfonic acid,2.093,6.069,6.635,6.375,6.84,3.751,5.459,4.179,4.528,3.548,NA,NA,NA,5.384,5.903,5.802,6.262,5.998,5.091,4.779,5.271,5.039,4.672,5.693,4.896,5.064
N-Butyryl-DL-homoserine lactone,8.353,6.181,6.122,5.806,5.86,5.631,6.103,5.246,4.932,6.312,0.946,0.3,NA,5.382,6.057,5.169,5.873,6.122,5.659,5.772,5.849,5.37,6.463,6.077,6.009,5.827
Pantothenic acid,21.839,10.83,11.922,12.157,11.384,7.195,9.096,7.885,8.785,8.382,NA,NA,NA,7.414,10.498,7.821,9.758,8.856,8.491,8.486,8.207,10.645,8.692,8.412,7.992,7.83
p-Hydroxyphenyllactic acid,109.422,64.95,62.795,69.541,67.878,16.977,16.712,14.861,13.359,17.304,0.851,NA,NA,33.691,37.152,29.191,34.049,34.881,31.85,35.353,34.726,33.665,35.386,33.859,34.768,32.341
Pinolenic acid,47.833,36.84,30.346,33.031,37.097,547.865,589.314,570.542,435.506,550.22,NA,29.595,22.032,625.073,669.257,667.755,627.964,597.35,511.868,397.335,308.172,317.374,336.324,327.757,352.427,376.228
Porphobilinogen,18.72,11.23,10.618,11.469,11.721,8.554,11.422,7.877,7.723,10.351,NA,NA,NA,9.76,10.198,9.919,10.763,10.146,10.745,10.344,10.679,10.216,10.013,10.382,9.579,9.865
Prostaglandin I3,249.51,186.382,180.609,204.536,197.85,194.758,210.031,190.319,174.661,192.37,3.613,4.527,6.009,191.181,193.404,179.831,196.946,205.504,182.276,192.4,188.947,183.746,172.334,181.176,181.403,169.305
p-Toluenesulfonic acid,15.009,12.405,13.282,12.878,13.124,16.51,18.844,13.201,15.686,17.776,19.39,19.49,5.222,17.572,17.967,15.984,18.827,17.767,16.737,16.229,15.827,14.752,15.792,16.845,16.94,15.537
Ricinoleic acid,65431.064,65859.133,62063.427,62803.801,65251.143,183017.438,186443.344,191490.848,203868.841,180800.953,4466.775,7001.42,5465.706,185176.292,184230.177,186766.356,172249.728,182316.033,155049.872,159360.037,162737.326,163186.832,153484.871,162800.231,159339.085,154443.212
Salicylic acid,7.193,3.753,4.2,4.529,4.102,6.884,7.306,6.355,6.697,7.534,0.471,0.966,1.319,10.259,10.592,10.014,9.733,11.14,6.935,6.746,7.353,6.934,7.579,7.448,7.022,6.998
Sebacic acid,213.939,154.778,152.3,172.644,160.543,192.749,197.445,192.615,175.082,208.306,45.266,40.17,39.903,190.379,205.023,174.721,226.928,192.907,180.497,180.452,179.767,180.954,186.43,186.408,211.001,192.106
Sebacic acid monomethyl ester,1623.669,1344.741,1165.895,1461.42,1318.613,189.773,198.673,161.342,191.867,181.798,263.235,472.904,385.1,219.768,198.343,204.633,200.273,214.476,432.632,421.904,407.434,412.417,420.413,442.607,407.056,394.506
Taurocholic acid,132.321,89.217,73.752,91.976,88.487,71.28,61.364,60.126,66.177,62.285,NA,NA,0.064,48.386,54.423,54.948,52.819,49.874,91.568,83.407,74.378,83.331,94.623,72.864,68.665,69.96
Thromboxane B2,1462.108,1170.641,1080.398,1236.256,1227.572,1402.039,1543.967,1324.787,1229.294,1499.372,190.922,34.953,20.091,1286.99,1403.961,1262.317,1425.173,1369.198,1251.331,1329.163,1315.033,1300.075,1248.463,1256.722,1219.708,1173.652
trans-2-Hydroxycinnamic acid,45.999,23.692,28.225,28.313,22.405,19.7,24.43,22.091,21.948,20.363,NA,NA,NA,27.675,22.34,20.903,24.679,25.22,19.249,21.699,25.104,20.911,21.588,25.586,24.114,22.112
