Assigned Annotation,Compound,Neutral mass (Da),m/z,Retention time (min),Chromatographic peak width (min),Identifications,Assigned Annotation,Identifier,MSI Classification,Adducts,Formula,Score,Fragmentation Score,Abs Mass Error (ppm),Isotope Similarity,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Maximum Abundance,Minimum CV%
"17-Phenyl trinor-13,14-dihydroprostaglandin A2",3.26_369.2131m/z,,369.2131,3.26,0.128,14,"17-Phenyl trinor-13,14-dihydroprostaglandin A2",130209-80-2,2,M-H,C23H30O4,40.4,35,16,83.3,0,0,Infinity,B,BLK,10,3.51
19(20)-EpDPE,7.85_343.2277m/z,,343.2277,7.85,0.692,18,19(20)-EpDPE,155073-47-5,2,M-H,C22H32O3,45.6,34.6,0.5,94.2,2.47E-13,1.50E-14,76.15970218,C,BLK,"1,075",6.38
1-Octadecanoyl-sn-glycero-3-phosphoethanolamine,5.43_480.3037m/z,,480.3037,5.43,0.205,2,1-Octadecanoyl-sn-glycero-3-phosphoethanolamine,Jf@1nvG3Wko45yU,2,M-H,C23H48NO7P,41.9,60,12.1,62.5,1.19E-07,3.62E-09,15.83494292,A,BLK,43,9.75
"2,2-Dimethylglutaric acid",3.80_159.0658m/z,,159.0658,3.8,0.181,5,"2,2-Dimethylglutaric acid",681-57-2,2,M-H,C7H12O4,44.1,28.4,2.8,95.6,0,0,11.64897879,A,B,65,6.9
"2,2'-Methylene-bis(6-tert-butyl-4 methylphenol)",5.05_339.2279m/z,,339.2279,5.05,0.156,2,"2,2'-Methylene-bis(6-tert-butyl-4 methylphenol)",119-47-1,2,M-H,C23H32O2,40.8,22.7,14.9,96.5,4.96E-07,1.42E-08,142.8875153,A,C,87,15.88
"2,3-Dimethylbenzoic acid",5.48_149.0603m/z,,149.0603,5.48,0.128,9,"2,3-Dimethylbenzoic acid",603-79-2,2,M-H,C9H10O2,48.6,48.2,3.3,98.7,0,0,Infinity,C,BLK,36,4.05
"2,6-Di-tert-butyl-4-methoxyphenol",7.49_235.1696m/z,,235.1696,7.49,0.12,3,"2,6-Di-tert-butyl-4-methoxyphenol",489-01-0,2,M-H,C15H24O2,44.7,29.9,3.1,97.2,1.09E-08,3.75E-10,20.70177955,C,BLK,109,5.62
"20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid",7.99_320.2347n,320.2347,319.2274,7.99,1.015,15,"20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid",79551-86-3,2,"M-H2O-H, M-H",C20H32O3,46.7,38,1.4,96.9,2.71E-07,7.97E-09,54.38855656,C,BLK,"2,672",6.43
2-Ethyl-2-hydroxybutyric acid,4.21_131.0709m/z,,131.0709,4.21,0.231,4,2-Ethyl-2-hydroxybutyric acid,3639-21-2,2,M-H,C6H12O3,52.1,68.5,3.6,96.4,7.77E-16,6.64E-17,3.363667459,A,BLK,201,3.46
2-Methylbenzoic acid,3.80_135.0447m/z,,135.0447,3.8,0.129,13,2-Methylbenzoic acid,118-90-1,2,M-H,C8H8O2,42.5,21.4,3.7,95.6,2.22E-16,2.04E-17,Infinity,B,BLK,3,4.3
"2-Phenylethanol, sulfate",1.66_201.0222m/z,,201.0222,1.66,0.124,4,"2-Phenylethanol, sulfate",183431-78-9,2,M-H,C8H10O4S,40.7,14.6,2.5,91.8,0,0,Infinity,B,BLK,4,4.24
2-Propyl-4-pentenoic acid,4.16_141.0916m/z,,141.0916,4.16,0.152,6,2-Propyl-4-pentenoic acid,117039-61-9,2,M-H,C8H14O2,47.2,41.9,3.3,98.1,0.011320774,0.000222963,1.983754843,A,B,17,9.64
"3-(2,5-Dimethoxyphenyl)propanoic acid",4.74_209.0793m/z,,209.0793,4.74,0.233,3,"3-(2,5-Dimethoxyphenyl)propanoic acid",10538-49-5,2,M-H,C11H14O4,40.2,17.2,12.3,96.8,4.44E-16,3.92E-17,5.837913012,A,C,"1,154",4.03
3-Hydroxymyristic acid,7.77_243.1958m/z,,243.1958,7.77,0.194,2,3-Hydroxymyristic acid,1961-72-4,2,M-H,C14H28O3,43.2,23,3.1,96.6,0.338165416,0.005981266,1.112590268,C,BLK,68,4.54
3-Hydroxyoctadecanoic Acid,8.66_299.2588m/z,,299.2588,8.66,0.505,1,3-Hydroxyoctadecanoic Acid,17773-30-7,2,M-H,C18H36O3,42.2,12.7,1.1,99.6,0,0,15.26288587,B,BLK,"31,014",3.25
3-Hydroxyoctanoic acid,5.23_159.1023m/z,,159.1023,5.23,0.155,3,3-Hydroxyoctanoic acid,14292-27-4,2,M-H,C8H16O3,47.3,42,2.2,97.3,4.52E-14,3.01E-15,3.975922831,A,BLK,110,2.12
3-Phenoxypropionic acid,4.45_166.0626n,166.0626,165.0553,4.45,0.156,8,3-Phenoxypropionic acid,7170-38-9,2,"M-H2O-H, M-H",C9H10O3,41.8,14.1,2.3,97.8,0,0,Infinity,A,BLK,103,4.64
4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid,1.63_237.0878m/z,,237.0878,1.63,0.126,7,4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid,7365-45-9,2,M-H,C8H18N2O4S,41.3,30,15.4,92.6,1.36E-09,5.21E-11,Infinity,A,BLK,5,25.64
"4-Benzyloxy-2'-hydroxy-3,4',6'-trimethoxychalcone",3.91_419.1536m/z,,419.1536,3.91,0.129,3,"4-Benzyloxy-2'-hydroxy-3,4',6'-trimethoxychalcone",114021-61-3,2,M-H,C25H24O6,40.2,15.1,8.5,95.1,0,0,Infinity,A,BLK,31,4.39
4-Hydroxynonenal,4.99_155.1073m/z,,155.1073,4.99,0.182,1,4-Hydroxynonenal,75899-68-2,2,M-H,C9H16O2,40.1,5.38,3,98.6,1.82E-10,7.83E-12,12.1426574,A,B,41,8.36
4-Methoxyphenylacetic acid,4.27_165.0579m/z,,165.0579,4.27,0.13,9,4-Methoxyphenylacetic acid,104-01-8,2,M-H,C9H10O3,42.8,32.5,12.9,94.9,5.55E-16,4.84E-17,Infinity,C,BLK,6,10.57
"4-Vinylphenol, sulfate",3.42_199.0066m/z,,199.0066,3.42,0.154,2,"4-Vinylphenol, sulfate",131351-90-1,2,M-H,C8H8O4S,40.1,11.3,2.1,91.5,0.000245236,5.49E-06,3.335015067,C,BLK,7,5.9
"5,6-Dehydroarachidonic acid",9.04_301.2167m/z,,301.2167,9.04,0.192,24,"5,6-Dehydroarachidonic acid",58688-54-3,2,M-H,C20H30O2,50.3,54.8,1.9,98.8,5.74E-08,1.82E-09,56.72181551,C,A,190,4.09
5-Aminosalicylic acid,2.25_152.0347m/z,,152.0347,2.25,0.123,3,5-Aminosalicylic acid,89-57-6,2,M-H,C7H7NO3,45.6,39.4,3.9,93.2,1.47E-11,7.27E-13,Infinity,A,BLK,9,15.31
"5S,6R-Dihydroxy-7E,9E,11Z,14Z-eicosatetraenoic acid",6.68_335.2217m/z,,335.2217,6.68,0.69,42,"5S,6R-Dihydroxy-7E,9E,11Z,14Z-eicosatetraenoic acid",82948-88-7,2,M-H,C20H32O4,44.2,30.7,3.2,94.1,2.78E-09,1.02E-10,87.3003098,B,BLK,"1,410",2.3
"5S-Hydroxy-6E,8Z,11Z-eicosatrienoic acid",8.20_321.2426m/z,,321.2426,8.2,0.498,11,"5S-Hydroxy-6E,8Z,11Z-eicosatrienoic acid",195061-94-0,2,M-H,C20H34O3,50.3,59.4,2.7,95.6,0,0,38.02270452,C,BLK,"2,741",2.27
"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic Acid",7.05_361.2379m/z,,361.2379,7.05,0.785,8,"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic Acid",887752-13-8,2,M-H,C22H34O4,42.5,22.3,1.4,92.1,0,0,Infinity,C,BLK,"1,343",4.95
7-Keto-8-aminopelargonic acid,4.66_187.1205n,187.1205,186.1133,4.66,0.468,1,7-Keto-8-aminopelargonic acid,4707-58-8,2,"M-H2O-H, M-H",C9H17NO3,40.9,7.75,1.6,98.9,4.77E-06,1.25E-07,21.47611601,A,C,"1,415",4.89
"8,9-EE-(14Z)-E",9.09_323.2586m/z,,323.2586,9.09,1.108,5,"8,9-EE-(14Z)-E",Q7EE4omkqUnZKSF,2,M-H,C20H36O3,42.6,23.2,1.8,92,6.66E-16,5.75E-17,60.76010099,C,BLK,"5,220",3.82
8-Iso-16-cyclohexyl-tetranor prostaglandin E2,6.23_378.2398n,378.2398,377.2325,6.23,0.771,1,8-Iso-16-cyclohexyl-tetranor prostaglandin E2,53319-30-5,2,"M-H2O-H, M-H",C22H34O5,41.8,18.3,2.3,93.2,8.67E-14,5.57E-15,13.31054433,A,BLK,833,3.26
9(S)-HpOTrE,7.51_309.2064m/z,,309.2064,7.51,0.862,2,9(S)-HpOTrE,111004-08-1,2,M-H,C18H30O4,50.2,57,2.3,97,9.16E-11,4.08E-12,9.871077647,C,BLK,"3,140",2.06
"9,12-Octadecadiynoic Acid",7.49_275.2011m/z,,275.2011,7.49,0.483,10,"9,12-Octadecadiynoic Acid",2012-14-8,2,M-H,C18H28O2,44.4,27.3,2,96.9,0,0,Infinity,B,BLK,569,2.66
"9-Hydroxy-10E,12Z-octadecadienoic acid",8.54_295.2276m/z,,295.2276,8.54,1.054,8,"9-Hydroxy-10E,12Z-octadecadienoic acid",98524-19-7,2,M-H,C18H32O3,42.8,17.1,0.7,97.7,0,0,18.64400923,C,BLK,"106,735",1.32
"9-Oxo-15S-hydroxy-10Z,13E-prostadienoic acid-cyclo[8S,12S]",7.05_335.2214m/z,,335.2214,7.05,0.54,42,"9-Oxo-15S-hydroxy-10Z,13E-prostadienoic acid-cyclo[8S,12S]",211186-29-7,2,M-H,C20H32O4,44.6,32.5,4,95.1,3.00E-15,2.36E-16,23.20814905,B,BLK,"1,048",3.51
9-OxoOTrE,7.60_291.1960m/z,,291.196,7.6,0.672,6,9-OxoOTrE,125559-74-2,2,M-H,C18H28O3,41.7,13.5,1.8,96.9,3.46E-10,1.43E-11,4.366596547,C,A,"1,184",2.61
"9-Oxo-prosta-10,12Z,14E-trienoic acid",8.56_317.2099m/z,,317.2099,8.56,0.814,40,"9-Oxo-prosta-10,12Z,14E-trienoic acid",573951-20-9,2,M-H,C20H30O3,41.2,22.1,7.4,92.4,1.89E-15,1.52E-16,9.361878452,B,BLK,"1,376",4.57
"9S,11R,15S-Trihydroxy-13E-prostaenoic acid",6.18_355.2484m/z,,355.2484,6.18,0.644,3,"9S,11R,15S-Trihydroxy-13E-prostaenoic acid",745-62-0,2,M-H,C20H36O5,40.7,30.1,1.8,75.6,5.40E-12,2.80E-13,194.4742348,B,BLK,"1,360",3.03
"9S,11R,15S-Trihydroxy-20a,20b-dihomo-5Z,13E-prostadienoic acid",5.98_381.2638m/z,,381.2638,5.98,0.2,13,"9S,11R,15S-Trihydroxy-20a,20b-dihomo-5Z,13E-prostadienoic acid",36950-85-3,2,M-H,C22H38O5,40.1,7.68,2.2,95.4,5.55E-16,4.84E-17,25.68522945,B,BLK,62,7.22
"9S,11R-Epidioxy-15S-hydroxy-13E-prostaenoic acid",6.06_353.2320m/z,,353.232,6.06,0.619,18,"9S,11R-Epidioxy-15S-hydroxy-13E-prostaenoic acid",52589-22-7,2,M-H,C20H34O5,41.8,27.6,3.7,85.7,4.44E-16,3.92E-17,13.31591379,B,BLK,926,7.47
"9S,15S-Dihydroxy-5Z,13E-prostadienoic acid",7.27_337.2372m/z,,337.2372,7.27,0.464,16,"9S,15S-Dihydroxy-5Z,13E-prostadienoic acid",37786-06-4,2,M-H,C20H34O4,42,19.4,3.7,95,6.26E-08,1.97E-09,39.66320193,B,BLK,"1,075",4.9
"9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid",8.25_293.2117m/z,,293.2117,8.25,0.308,9,"9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid",89886-42-0,2,M-H,C18H30O3,44.4,26.7,1.7,97.3,0,0,28.64866727,B,BLK,"12,254",4.96
Azelaic acid,4.74_188.1049n,188.1049,187.0976,4.74,0.727,3,Azelaic acid,123-99-9,1,"M-H2O-H, M-H",C9H16O4,55.7,80.2,0,98.4,0,0,7.517704959,A,C,"3,833",4.28
"Butanedioic acid, 2-(4,4-dimethyl-2-methylenepentyl)-",5.53_227.1283m/z,,227.1283,5.53,0.554,2,"Butanedioic acid, 2-(4,4-dimethyl-2-methylenepentyl)-",5703-15-1,2,M-H,C12H20O4,45.2,31,2.6,97.9,2.74E-08,8.99E-10,2.47702779,A,BLK,165,4.75
Carbocyclic thromboxane A2,8.61_347.2586m/z,,347.2586,8.61,0.888,2,Carbocyclic thromboxane A2,74034-56-3,2,M-H,C22H36O3,49.3,49.4,1.5,98.8,0,0,2290.185543,C,BLK,"5,121",2.76
Cholic acid,6.31_407.2798m/z,,407.2798,6.31,0.149,5,Cholic acid,81-25-4,2,M-H,C24H40O5,45.4,31.6,1.3,96.9,0,0,49.43504281,B,BLK,122,3.73
"cis-4,10,13,16-Docosatetraenoic acid",9.93_331.2636m/z,,331.2636,9.93,0.191,4,"cis-4,10,13,16-Docosatetraenoic acid",122068-08-0,2,M-H,C22H36O2,44.3,27,1.8,96.9,0,0,Infinity,C,BLK,987,7.77
"cis-4,7,10,13,16,19-Docosahexaenoic acid",9.28_327.2319m/z,,327.2319,9.28,0.168,2,"cis-4,7,10,13,16,19-Docosahexaenoic acid",6217-54-5,2,M-H,C22H32O2,46.4,39.1,3.3,96.7,1.11E-16,1.05E-17,Infinity,C,BLK,980,4.32
"cis-5,8,11,14-Eicosatetraenoic acid",8.18_303.2321m/z,,303.2321,8.18,0.427,9,"cis-5,8,11,14-Eicosatetraenoic acid",506-32-1,2,M-H,C20H32O2,44.5,33.5,2.9,92.2,2.22E-15,1.77E-16,130.2140849,B,BLK,237,6.05
"Conjugated linoleic Acid (10E,12Z)",9.60_279.2325m/z,,279.2325,9.6,0.265,4,"Conjugated linoleic Acid (10E,12Z)",2420-56-6,2,M-H,C18H32O2,43.1,19.5,1.6,98,0,0,86.11066422,C,BLK,"7,120",4.14
Cresotinic acid,4.24_151.0394m/z,,151.0394,4.24,0.13,20,Cresotinic acid,83-40-9,2,M-H,C8H8O3,53.5,74,4.1,98.3,0,0,Infinity,C,BLK,12,3.55
DL-Phenylalanine,2.18_164.0716m/z,,164.0716,2.18,0.271,8,DL-Phenylalanine,150-30-1,2,M-H,C9H11NO2,58,91.7,0.7,99.2,0,0,Infinity,A,BLK,330,3.37
D-Quinovose,1.71_163.0607m/z,,163.0607,1.71,0.124,6,D-Quinovose,04/08/7658,2,M-H,C6H12O5,41.9,16.9,2.8,95.8,1.19E-14,8.58E-16,Infinity,A,BLK,13,11.03
Geranyl pyrophosphate,4.53_313.0601m/z,,313.0601,4.53,0.131,8,Geranyl pyrophosphate,763-10-0,2,M-H,C10H20O7P2,40.8,17.7,3.5,90.3,4.93E-09,1.76E-10,14.62335051,A,BLK,10,10.26
Hexadecanedioic acid,7.60_285.2066m/z,,285.2066,7.6,0.457,1,Hexadecanedioic acid,505-54-4,2,M-H,C16H30O4,51.7,64.5,1.8,96.2,7.06E-05,1.66E-06,1.626479418,C,A,701,4.35
Indole-3-pyruvic acid,1.31_202.0475m/z,,202.0475,1.31,0.203,4,Indole-3-pyruvic acid,392-12-1,2,M-H,C11H9NO3,42.6,33.9,16.9,96.2,0.000135647,3.11E-06,3.140648556,A,BLK,19,14.27
Leukotriene B3,8.13_337.2375m/z,,337.2375,8.13,0.238,14,Leukotriene B3,88099-35-8,2,M-H,C20H34O4,42.7,32.5,2.7,84.3,0,0,Infinity,C,BLK,109,8.61
L-Glutamic acid,1.00_146.0453m/z,,146.0453,1,0.146,6,L-Glutamic acid,56-86-0,1,M-H,C5H9NO4,57.9,96.7,3.9,97.3,0,0,Infinity,A,BLK,23,20.08
L-Leucine,1.53_130.0871m/z,,130.0871,1.53,0.304,8,L-Leucine,61-90-5,2,M-H,C6H13NO2,41.3,9.64,1.7,98.8,0,0,423.4704739,A,BLK,266,2.11
L-Tryptophan,3.26_203.0823m/z,,203.0823,3.26,0.155,7,L-Tryptophan,73-22-3,2,M-H,C11H12N2O2,53.3,69.1,1.6,99.4,1.11E-16,1.05E-17,121.0540839,A,BLK,55,3.75
L-Tyrosine,1.31_180.0665m/z,,180.0665,1.31,0.178,5,L-Tyrosine,60-18-4,1,M-H,C9H11NO3,52.1,62.1,0.7,99.1,7.87E-14,5.08E-15,59.06056297,A,BLK,257,7.79
Mevalonic acid,1.93_147.0660m/z,,147.066,1.93,0.148,2,Mevalonic acid,150-97-0,2,M-H,C6H12O4,42.5,19.6,1.8,95.2,1.23E-12,6.89E-14,Infinity,A,BLK,13,20.28
Myriocin,5.41_400.2691m/z,,400.2691,5.41,0.206,6,Myriocin,35891-70-4,2,M-H,C21H39NO6,40.8,15,3.5,93.3,0,0,644.481829,B,BLK,31,7.53
Myristoleic acid,8.75_225.1854m/z,,225.1854,8.75,0.243,3,Myristoleic acid,544-64-9,2,M-H,C14H26O2,41.1,10.7,2.8,98.3,6.67E-12,3.43E-13,6.004837995,C,BLK,185,4.35
Myristyl sulfate,9.93_293.1776m/z,,293.1776,9.93,0.576,4,Myristyl sulfate,4754-44-3,2,M-H,C14H30O4S,44.4,35.9,5.5,92.3,0.031774992,0.000605929,6.136954928,A,QC,"14,096",8.7
Nalpha-Acetyl-L-lysine,2.81_187.1084m/z,,187.1084,2.81,0.17,8,N.alpha.-Acetyl-L-lysine,1946-82-3,2,M-H,C8H16N2O3,41.8,12.4,2.1,99,0,0,Infinity,A,BLK,22,7.91
N-[Tris(hydroxymethyl)methyl]-3-amino-2-hydroxypropanesulfonic acid,4.63_258.0656m/z,,258.0656,4.63,0.131,4,N-[Tris(hydroxymethyl)methyl]-3-amino-2-hydroxypropanesulfonic acid,68399-81-5,2,M-H,C7H17NO7S,46.3,41.3,1,91.6,7.59E-12,3.87E-13,Infinity,C,BLK,6,5.47
N-Butyryl-DL-homoserine lactone,3.32_170.0818m/z,,170.0818,3.32,0.155,5,N-Butyryl-DL-homoserine lactone,98426-48-3,2,M-H,C8H13NO3,40.2,5.71,2.8,98.7,6.25E-14,4.10E-15,15.56170329,A,BLK,6,5.45
Pantothenic acid,2.76_218.1029m/z,,218.1029,2.76,0.195,3,Pantothenic acid,599-54-2,2,M-H,C9H17NO5,40.2,5.18,2.2,98.2,0,0,Infinity,A,BLK,14,9.1
p-Hydroxyphenyllactic acid,3.34_182.0575n,182.0575,181.0502,3.34,0.129,8,p-Hydroxyphenyllactic acid,306-23-0,2,"M-H2O-H, M-H",C9H10O4,44.9,28.5,2.1,98.5,0,0,263.9673659,A,BLK,75,3.91
Pinolenic acid,9.14_277.2169m/z,,277.2169,9.14,0.311,11,Pinolenic acid,16833-54-8,2,M-H,C18H30O2,44.4,26.4,1.3,97.1,1.75E-08,5.86E-10,37.04298288,C,BLK,637,4.82
Porphobilinogen,2.57_225.0876m/z,,225.0876,2.57,0.244,5,Porphobilinogen,487-90-1,2,M-H,C10H14N2O4,41.6,17.9,2.2,92.8,0,0,Infinity,A,BLK,13,3.76
Prostaglandin I3,5.66_349.2005m/z,,349.2005,5.66,0.821,26,Prostaglandin I3,68794-57-0,2,M-H,C20H30O5,43,32.6,4.4,87.3,0,0,43.2067523,A,BLK,204,4.23
p-Toluenesulfonic acid,3.37_171.0117m/z,,171.0117,3.37,0.231,3,p-Toluenesulfonic acid,104-15-4,2,M-H,C7H8O3S,41.1,15.6,2.8,93.5,0.254112868,0.004538571,1.321146255,C,A,18,4.69
Ricinoleic acid,8.32_297.2433m/z,,297.2433,8.32,1.173,1,Ricinoleic acid,141-22-0,2,M-H,C18H34O3,48,41.5,0.7,99.3,0,0,33.50514685,B,BLK,"189,124",2.53
Salicylic acid,3.60_137.0240m/z,,137.024,3.6,0.154,3,Salicylic acid,69-72-7,2,M-H,C7H6O3,54.7,81.5,3.4,95.9,8.07E-14,5.21E-15,11.2618252,C,BLK,10,4.13
Sebacic acid,6.21_201.1126m/z,,201.1126,6.21,0.819,3,Sebacic acid,111-20-6,2,M-H,C10H18O4,41.6,13.7,3,97.6,2.22E-16,2.04E-17,4.738955231,C,BLK,198,5.63
